crimeID,crimeType,newType,newID,Weight
102,HOMICIDE-NEGLIGENT-VEHICLE,MURDER-VEHICLE,102,10
103,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",MURDER,103,10
104,RAPE,RAPE,104,10
105,ROBBERY,ROBBERY,105,9
106,FELONY ASSAULT,FELONY ASSAULT,106,9
107,BURGLARY,BURGLARY,107,7
109,GRAND LARCENY,THEFT-PROPERTY,109,6
110,GRAND LARCENY OF MOTOR VEHICLE,THEFT-VEHICLE,110,6
111,POSSESSION OF STOLEN PROPERTY,POSSESSION OF STOLEN PROPERTY,111,6
112,THEFT-FRAUD,THEFT,112,6
113,FORGERY,FORGERY,113,5
114,ARSON,ARSON,114,8
115,PROSTITUTION & RELATED OFFENSES,PROSTITUTION,115,8
116,SEX CRIMES,SEX CRIMES,116,8
117,DANGEROUS DRUGS,DRUGS,117,6
118,DANGEROUS WEAPONS,WEAPONS,118,8
119,INTOXICATED/IMPAIRED DRIVING,INTOXICATED DRIVING,119,8
120,CHILD ABANDONMENT/NON SUPPORT,CHILD OFFENSE,120,8
121,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF,121,7
122,GAMBLING,GAMBLING,122,3
123,ABORTION,ABORTION,123,3
124,KIDNAPPING,KIDNAPPING,124,10
125,OTHER STATE LAWS (NON PENAL LA,OTHER STATE LAWS,125,1
126,MISCELLANEOUS PENAL LAW,PENAL LAW,126,1
230,JOSTLING,JOSTLING,127,2
231,BURGLAR'S TOOLS,THEFT,112,6
232,POSSESSION OF STOLEN PROPERTY,POSSESSION OF STOLEN PROPERTY,111,6
233,SEX CRIMES,SEX CRIMES,116,8
234,PROSTITUTION & RELATED OFFENSES,PROSTITUTION,115,8
235,DANGEROUS DRUGS,DRUGS,117,6
236,DANGEROUS WEAPONS,WEAPONS,118,8
237,ESCAPE 3,ESCAPE,128,7
238,FRAUDULENT ACCOSTING,FRAUDS,129,6
340,FRAUDS,FRAUDS,129,6
341,PETIT LARCENY,THEFT-PROPERTY,109,6
342,PETIT LARCENY OF MOTOR VEHICLE,THEFT-VEHICLE,110,6
343,THEFT OF SERVICES,THEFT,112,6
344,ASSAULT 3 & RELATED OFFENSES,ASSAULT,131,9
345,OFFENSES RELATED TO CHILDREN,CHILD OFFENSE,120,8
346,ALCOHOLIC BEVERAGE CONTROL LAW,ALCOHOLIC BEVERAGE CONTROL LAW,132,4
347,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING,119,8
348,VEHICLE AND TRAFFIC LAWS,VEHICLE AND TRAFFIC LAWS,133,8
349,DISRUPTION OF A RELIGIOUS SERV,RELIGIOUS DISRUPTION,145,4
350,GAMBLING,GAMBLING,122,3
351,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF,121,7
352,CRIMINAL TRESPASS,OFFENSE AGAINST A PERSON,101,9
353,UNAUTHORIZED USE OF A VEHICLE,VEHICLE AND TRAFFIC LAWS,133,8
354,ANTICIPATORY OFFENSES,ANTICIPATORY OFFENSES,134,3
355,OFFENSES AGAINST THE PERSON,OFFENSE AGAINST A PERSON,101,9
356,PROSTITUTION & RELATED OFFENSES,PROSTITUTION,115,8
357,FORTUNE TELLING,FORTUNE TELLING,135,1
358,OFFENSES INVOLVING FRAUD,FRAUDS,129,6
359,OFFENSES AGAINST PUBLIC ADMINI,PUBLIC ADMIN OFFENSE,108,6
360,LOITERING FOR DRUG PURPOSES,LOITERING-DRUG,141,3
361,OFF. AGNST PUB ORD SENSBLTY &,PUBLIC ORDER OFFENSE,144,6
362,OFFENSES AGAINST MARRIAGE UNCL,MARRIAGE OFFENSE,142,4
363,OFFENSES AGAINST PUBLIC SAFETY,PUBLIC SAFETY OFFENSE,143,6
364,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,AGRICULTURE LAW,136,5
365,ADMINISTRATIVE CODE,ADMINISTRATIVE CODE,137,4
366,NEW YORK CITY HEALTH CODE,NYC HEALTH CODE,138,8
455,UNLAWFUL POSS. WEAP. ON SCHOOL,WEAPONS,118,8
460,LOITERING/DEVIATE SEX,LOITERING,140,3
571,"LOITERING/GAMBLING (CARDS, DIC",GAMBLING,122,3
572,DISORDERLY CONDUCT,DISORDERLY CONDUCT,130,2
577,UNDER THE INFLUENCE OF DRUGS,DRUGS,117,6
578,HARRASSMENT 2,HARRASSMENT,139,6
672,LOITERING,LOITERING,140,3
675,ADMINISTRATIVE CODE,ADMINISTRATIVE CODE,137,4
676,NEW YORK CITY HEALTH CODE,NYC HEALTH CODE,138,8
677,OTHER STATE LAWS,OTHER STATE LAWS,125,1
678,MISCELLANEOUS PENAL LAW,PENAL LAW,126,1
685,ADMINISTRATIVE CODES,ADMINISTRATIVE CODE,137,4
881,OTHER TRAFFIC INFRACTION,VEHICLE AND TRAFFIC LAWS,133,8
